OrderLineID,TransactionID,ProductID,Quantity,UnitPrice,Discount,LineTotal
"OL-57","TRN-9023","P201","3","70","0.1","189"
"OL-59","TRN-9024","","3","60","0.05","171"
"#N/A"," TRN-9025 ","C304","2","58","","116"
"OL-61","TRN-9025","P103","2","95","0","190"
"OL-62","TRN-9026"," P101 ","1","","0","85"
"OL-63","TRN-9027","P103","1","95","0","95"
"","TRN-9027","P203","3","68","0","204"
"","TRN-9027","#N/A","2","55","0","110"
"OL-66","TRN-9028"," C304 ","3","58","0.05","165.3"
" OL-67 "," TRN-9028 ","P203","3","68","0.05","193.8"
"","TRN-9028","P202","2","65","0.05","123.5"
"OL-69"," TRN-9029 "," C301 ","2","55","0",""
"OL-70"," TRN-9029 ","P203","1","","0","68"
"OL-71","TRN-9029","C304","1","58","0","58"
"OL-71","TRN-9029","C304","1","58","0","58"
"OL-73","TRN-9030","C304","2","58","0.1","104.4"
"","TRN-9031","P103","","","0","190"
"OL-75","","P101","1","85","0.15","72.25"
"OL-76","TRN-9032","P201","1","70","0.15","59.5"
"OL-76","TRN-9032","P201","1","70","0.15","59.5"
"OL-78","TRN-9033","P201","2","70","0","140"
"#N/A","TRN-9033","","2","60","0","120"
"OL-80","TRN-9033","C304","1","58","0","58"
" OL-81 ","TRN-9033","P101","1","85","0","85"
"OL-82"," TRN-9034 ","P201","3","70","0.1","189"
"OL-83","TRN-9034","","2","60","0.1","108"
"OL-84","TRN-9034","","3","55","0.1","148.5"
"OL-85"," TRN-9035 "," C302 ","","50","0.1","90"
"OL-86","TRN-9035","P202","3","65","0.1",""
"OL-87","TRN-9035","","1","68","0.1","61.2"
"OL-88","TRN-9036","C301","3","55","0.1","148.5"
"OL-89","TRN-9036","C304","2","58","0.1",""
"","TRN-9036","C304","1","58","","52.2"
"OL-91","TRN-9037","P101","3","85","0","255"
"OL-92","TRN-9037","P102","1","80","0","80"
"OL-93","","C304","3","58","0","174"
"OL-94","","P202","3","65","0",""
"OL-94","TRN-9039","P202","3","65","0","195"
"#N/A","TRN-9040"," P202 ","3","65","",""
"","TRN-9040","","1","60","0","60"
"OL-98","TRN-9040","P101","3","85","","255"
"#N/A","TRN-9040","","2","95","0","190"
"","TRN-9041","C301","1","55","0.1","49.5"
"OL-101","TRN-9041","#N/A","1","68","0.1","61.2"
"OL-102","TRN-9041","P203","1","68","0.1","61.2"
"OL-102","TRN-9041","P203","1","68","0.1","61.2"
"","","P201","1","70","0.05","66.5"
"OL-105","TRN-9042","C303","1","","0.05","57"
"OL-106","TRN-9042","P103","2","95","0.05","180.5"
"","TRN-9043","C303","1","60","0","60"
"OL-108","TRN-9044","P202","2","65","",""
"OL-108","TRN-9044","P202","2","65","0","130"
"OL-110"," TRN-9044 ","P201","1","","0","70"
"OL-111","#N/A"," P101 ","2","85","","170"
"OL-112"," TRN-9045 ","C301","1","55","0","55"
"OL-113","TRN-9045","C301","2","55","0","110"
"","TRN-9045","","3","68","","204"
" OL-115 ","TRN-9046","P101","1","85","0","85"
"OL-116"," TRN-9047 "," C301 ","2","55","0.05",""
"OL-117"," TRN-9047 ","C301","1","55","0.05","52.25"
"OL-118","TRN-9048"," P203 ","1","68","0","68"
"OL-119"," TRN-9049 ","C302","3","50","0","150"
"","","C302","2","","","100"
"","TRN-9049","P101","2","85","0","170"
"OL-122","TRN-9050","P202","1","65","0","65"
"OL-123","TRN-9050","P203","2","68","0","136"
"OL-123","TRN-9050","P203","2","68","0","136"
"OL-125","TRN-9051","P201","3","70","0","210"
"OL-126","TRN-9051","C301","","55","0","165"
"OL-127","TRN-9052","P102","3","80","0","240"
"OL-128","TRN-9053","C301","3","55","0","165"
"OL-129","TRN-9054","","3","85","0","255"
"OL-130","TRN-9054"," P103 ","3","95","0","285"
"OL-131"," TRN-9055 ","C302","2","50","0.1","90"
"OL-132"," TRN-9055 ","P201","2","70","0.1","126"
"OL-133","TRN-9055","P203","1","68","0.1","61.2"
"OL-134","TRN-9056","C304","2","58","0","116"
"OL-135","TRN-9056","P201","3","70","0","210"
"OL-136","TRN-9056","P102","2","80","0","160"
" OL-137 ","TRN-9056","P201","","70","",""
"OL-137","TRN-9056","P201","3","70","0","210"
"","TRN-9057"," P203 ","2","68","0","136"
"OL-140","TRN-9057","P203","","","0","68"
"#N/A","TRN-9058","P102","1","80","0","80"
"OL-141","TRN-9058","P102","1","80","0","80"
"OL-142","TRN-9059","P103","3","95","0","285"
"OL-144","","P202","2","65","0","130"
"OL-145","","P101","1","85","0","85"
" OL-146 ","TRN-9060","C303","1","60","0","60"
"OL-147","","#N/A","2","70","0","140"
"","TRN-9060","","2","65","0","130"
"OL-149","TRN-9061","P103","1","95","0","95"
"OL-150"," TRN-9061 ","C304","1","","0","58"
"OL-151","TRN-9061","P103","1","95","","95"
"OL-151","TRN-9061","P103","1","95","0","95"
"OL-153","TRN-9062","P202","2","65","0","130"
"OL-154","TRN-9063","P202","","65","0","195"
"OL-155","","P103","3","95","","285"
"OL-155","TRN-9063","P103","3","95","0","285"
"OL-157","TRN-9064","C303","2","60","","120"
"OL-158","TRN-9064"," P202 ","","","","65"
"OL-159","TRN-9064"," C301 ","3","55","","165"
"","TRN-9064","P202","1","65","0","65"
"OL-161","TRN-9065","P201","2","70","0.05","133"
"OL-162","","#N/A","1","95","0","95"
"OL-163","TRN-9067","P103","2","","0.1","171"
"OL-164","TRN-9067","C303","3","60","0.1","162"
"OL-165","TRN-9067","P201","2","70","0.1","126"
"OL-166","TRN-9067","P101","2","85","0.1","153"
"OL-166","TRN-9067","P101","2","85","0.1","153"
"OL-168","TRN-9068","P203","3","","0.15","173.4"
"OL-168","TRN-9068","P203","3","68","0.15","173.4"
" OL-170 ","TRN-9069","C302","","50","","90"
"","TRN-9070","P203","3","","0","204"
" OL-172 ","TRN-9070","P203","1","68","0","68"
"OL-173","TRN-9070","","","80","0","160"
"OL-174","TRN-9070","P102","3","80","0","240"
"OL-175","TRN-9071","P202","2","65","0",""
"OL-176","TRN-9071"," C303 ","2","60","0","120"
"OL-177","TRN-9072","C304","3","58","0.05",""
"OL-178","TRN-9072","C301","1","","0.05",""
" OL-179 ",""," P203 ","3","68","0","204"
"OL-180","TRN-9073","C304","1","58","0","58"
" OL-181 ",""," P203 ","1","68","0","68"
"OL-181","TRN-9073","P203","1","68","0","68"
"","#N/A","C301","1","55","0","55"
"OL-184"," TRN-9076 ","C303","3","60","0.15","153"
"OL-185","TRN-9077"," C304 ","3","58","0.15","147.9"
"OL-186","TRN-9077","P102","3","80","0.15","204"
" OL-187 ","TRN-9077","C302","3","50","0.15",""
"OL-188","TRN-9077"," C302 ","2","50","0.15","85"
"OL-189"," TRN-9078 ","C303","2","60","0","120"
"OL-190","TRN-9078","C301","3","55","0",""
"OL-190","TRN-9078","C301","3","55","0","165"
"OL-191","TRN-9078","C302","3","50","0","150"
"OL-193","TRN-9079","C302","3","50","","150"
" OL-194 ","#N/A","C302","3","50","0","150"
"OL-195","TRN-9079","P202","2","65","0","130"
"OL-196","TRN-9080","P202","2","65","0","130"
"OL-197","TRN-9081","P101","2","85","0","170"
"OL-198","TRN-9082","P203","","68","0","68"
"OL-199"," TRN-9082 ","","","58","0","58"
"OL-200","TRN-9082","P202","3","65","0","195"
"OL-200","TRN-9082","P202","3","65","0","195"
"OL-202","TRN-9084","P101","","","0",""
"OL-203","TRN-9084","P101","1","85","0","85"
"OL-204","TRN-9084","C304","3","58","0","174"
"OL-205","TRN-9084","C301","3","55","0","165"
"OL-205","TRN-9084","C301","3","55","0","165"
"OL-207","TRN-9085","P101","2","","0.1","153"
"OL-208"," TRN-9085 "," P102 ","2","80","0.1","144"
"OL-208","TRN-9085","P102","2","80","0.1","144"
"OL-209","TRN-9085","P201","2","70","0.1","126"
"OL-211","TRN-9086","P103","","95","0","285"
"","TRN-9087","P103","2","95","0.15","161.5"
"OL-213","TRN-9088","P103","2","95","0","190"
"OL-214","TRN-9088","P202","3","65","0","195"
"OL-215","TRN-9088"," C304 ","","58","0","174"
"OL-216","TRN-9089","P101","3","85","0.05","242.25"
"OL-217"," TRN-9089 ","","1","95","0.05","90.25"
"","TRN-9090","C302","2","50","","100"
"OL-219","#N/A","P201","3","70","0","210"
"OL-220","TRN-9091","P202","2","65","0","130"
" OL-221 ","TRN-9091","","","58","0",""
" OL-222 ","#N/A"," C301 ","2","55","0.15","93.5"
"OL-223","TRN-9093","","2","55","0","110"
"OL-224","TRN-9093","P202","3","","0","195"
"OL-225","TRN-9093","P202","2","65","0","130"
"OL-226","TRN-9093"," C304 ","2","58","0","116"
"OL-227","#N/A","","2","65","0.1","117"
"","TRN-9094","C301","1","55","0.1","49.5"
"OL-229","TRN-9095","","1","70","","70"
"OL-230","TRN-9095","P103","1","","0","95"
"OL-231","TRN-9095","C301","3","55","0","165"
"OL-232","TRN-9095","P201","1","70","0","70"
"OL-233"," TRN-9096 ","C304","2","58","","104.4"
" OL-234 ","TRN-9096"," P202 ","3","65","0.1","175.5"
"","","P203","3","68","0.1","183.6"
" OL-236 ","TRN-9096","","","65","0.1","175.5"
"#N/A"," TRN-9097 ","P102","1","80","0","80"
"OL-238","","C303","2","60","0","120"
"OL-239","TRN-9098","C304","2","58","0","116"
"OL-240","TRN-9098","C304","2","58","0",""
""," TRN-9098 ","P202","3","","0","195"
"OL-242","TRN-9098","P101","1","85","0",""
"OL-243"," TRN-9099 ","C302","2","50","","100"
"OL-244","TRN-9099","C304","1","58","0","58"
"OL-245"," TRN-9100 ","","2","55","0.05","104.5"
"OL-246","TRN-9100","C304","3","58","0.05","165.3"
"OL-247"," TRN-9100 ","P103","1","95","0.05",""
"OL-248","TRN-9101","P201","3","70","0.1",""
"OL-249","TRN-9101","","1","55","0.1","49.5"
"OL-249","TRN-9101","C301","1","55","0.1","49.5"
" OL-251 "," TRN-9102 ","P101","1","85","0.05",""
"OL-252","TRN-9102","P103","","95","0.05","270.75"
"OL-252","TRN-9102","P103","3","95","0.05","270.75"
"OL-253","TRN-9102","P101","1","85","0.05","80.75"
" OL-255 ","TRN-9103"," P101 ","1","85","0","85"
""," TRN-9104 ","","2","95","0",""
"OL-257"," TRN-9104 ","","1","70","0","70"
"OL-257","TRN-9104","P201","1","70","0","70"
"OL-259","TRN-9105","","1","95","0","95"
"OL-260","TRN-9105","C301","2","55","0","110"
"OL-261","","C301","2","55","0","110"
"OL-262","TRN-9106"," C304 ","2","58","","116"
"OL-263","TRN-9106","P203","","68","0","136"
"OL-264","TRN-9106","P203","2","68","0","136"
"OL-265","TRN-9106","P102","1","80","0","80"
"OL-266","TRN-9107","P101","2","85","0.1","153"
"OL-267","TRN-9107","C303","2","60","0.1","108"
" OL-268 ","TRN-9107","P201","1","70","0.1","63"
"OL-269","TRN-9108","#N/A","1","58","0","58"
"OL-270","TRN-9108","C303","1","60","0",""
"","","C301","2","55","0",""
" OL-272 ","TRN-9109","P102","1","80","0","80"
"OL-273","TRN-9109","P102","3","80","0","240"
" OL-274 ","TRN-9110"," P202 ","2","65","0","130"
"OL-274","TRN-9110","P202","2","65","0","130"
"OL-275","TRN-9110","C301","2","55","0","110"
"OL-276","TRN-9111","P102","2","80","0","160"
"OL-278","TRN-9112"," P101 ","3","85","0.05","242.25"
"OL-279","","C304","3","58","0.05","165.3"
"OL-280","TRN-9112","C302","1","50","0.05","47.5"
"OL-281"," TRN-9113 ","C303","2","60","0","120"
"OL-282","TRN-9113","C302","1","50","0","50"
"OL-283","","","","68","","136"
"OL-284","TRN-9114","P101","3","85","0","255"
"OL-285","TRN-9114","C304","3","","0","174"
"OL-286","TRN-9115","C304","1","58","0.05","55.1"
"OL-287","TRN-9115","P103","3","","0.05","270.75"
" OL-288 ","TRN-9115","P101","1","85","","80.75"
"OL-289"," TRN-9116 ","","2","","0","140"
"OL-290","TRN-9116","P203","1","68","0","68"
"OL-290","TRN-9116","P203","1","68","0","68"
"OL-292","TRN-9117","P101","2","","0.05","161.5"
"","TRN-9117","P203","1","68","","64.6"
"OL-293","TRN-9117","P203","1","68","0.05","64.6"
" OL-295 ","","P202","2","65","0","130"
"OL-296","","P101","1","85","0.05","80.75"
"OL-297","TRN-9120","C302","1","50","0","50"
"OL-298","TRN-9120","P102","3","80","0","240"
" OL-299 "," TRN-9121 ","P103","2","95","0","190"
"OL-299","TRN-9121","P103","2","95","0","190"
"OL-301","TRN-9122","P202","1","65","0","65"
"OL-302","TRN-9122","C304","2","58","0",""
"OL-303"," TRN-9123 ","C303","3","60","0","180"
"OL-304","TRN-9123","","2","95","0","190"
"OL-305","TRN-9124","#N/A","3","50","0","150"
"OL-306"," TRN-9124 ","P201","3","70","0","210"
""," TRN-9125 ","C301","","55","0","110"
"","TRN-9125","P201","3","70","0","210"
"OL-308","TRN-9125","P201","3","70","0","210"
" OL-310 ","","C301","1","","0","55"
"OL-311","","C301","1","55","0","55"
"OL-312"," TRN-9126 ","P102","3","80","0","240"
"OL-313","TRN-9127","P101","2","85","0","170"
"OL-314","TRN-9127","","3","60","0","180"
"OL-315","TRN-9127","#N/A","2","68","0","136"
"OL-315","TRN-9127","P203","2","68","0","136"
"OL-316","TRN-9127","P103","3","95","0","285"
"OL-318"," TRN-9128 "," C304 ","3","58","0.15","147.9"
"OL-319"," TRN-9128 ","C302","1","50","0.15",""
"OL-320"," TRN-9129 ","","2","55","0",""
"OL-321","TRN-9129","C304","2","58","0","116"
"OL-322","TRN-9129","P203","3","68","0","204"
"OL-323","TRN-9129","P203","3","68","",""
"OL-324"," TRN-9130 ","C301","3","55","0.1",""
"OL-325","","C303","","60","0.1","108"
"OL-326","TRN-9131","P101","2","85","0","170"
" OL-327 ","TRN-9132","C302","2","50","0","100"
"OL-328","TRN-9133"," P102 ","2","80","0","160"
"OL-329","TRN-9133","P101","1","85","0","85"
"OL-329","TRN-9133","P101","1","85","0","85"
"OL-331"," TRN-9134 "," P202 ","2","65","0.1","117"
"OL-332","TRN-9134","C302","3","50","0.1","135"
"OL-332","TRN-9134","C302","3","50","0.1","135"
"OL-334","TRN-9135","C303","2","60","0.15","102"
" OL-335 ","","P101","","85","0.15","144.5"
"OL-335","TRN-9135","P101","2","85","0.15","144.5"
" OL-337 ","","C302","1","","0",""
"OL-337","TRN-9137","C302","1","50","0","50"
"OL-339","TRN-9138","P202","","65","0.15","55.25"
"OL-340","TRN-9138","P103","","95","0.15","80.75"
"OL-341"," TRN-9139 ","C303","3","60","0","180"
"OL-341","TRN-9139","C303","3","60","0","180"
"OL-343"," TRN-9140 ","P202","1","65","0","65"
"OL-344","TRN-9140","P101","2","85","0","170"
"","TRN-9140"," P203 ","2","68","0","136"
"OL-346","","C302","2","50","0","100"
"OL-347","TRN-9141","","2","85","0","170"
"OL-348","TRN-9141","C304","3","58","0","174"
"OL-349","TRN-9141"," P203 ","3","68","0","204"
""," TRN-9142 ","P101","3","","0.1","229.5"
"OL-351","TRN-9143","P101","2","85","0","170"
"OL-352","TRN-9144"," P103 ","2","95","0","190"
"OL-353","TRN-9144","P203","2","68","0","136"
"OL-354","TRN-9145","P201","3","70","0","210"
"OL-354","TRN-9145","P201","3","70","0","210"
""," TRN-9145 ","P202","2","65","0","130"
"OL-357"," TRN-9145 ","C304","1","58","0","58"
"OL-358"," TRN-9146 ","C302","1","50","0","50"
"","","C304","3","58","","174"
"OL-360","TRN-9146"," P103 ","1","95","0","95"
"OL-360","TRN-9146","P103","1","95","0","95"
"OL-361","TRN-9146","C302","2","50","0","100"
"OL-363","TRN-9148","P101","2","85","0","170"
"OL-364","TRN-9148","C302","1","50","",""
"OL-365","TRN-9148","","2","50","0",""
" OL-366 ","TRN-9149","P103","2","95","0","190"
"OL-367"," TRN-9149 ","P203","2","68","0","136"
"OL-368","TRN-9150","P102","3","80","","240"
"OL-368","TRN-9150","P102","3","80","0","240"
"OL-370","TRN-9152","C301","2","55","0","110"
"OL-370","TRN-9152","C301","2","55","0","110"
"OL-372","TRN-9152","C302","1","50","0","50"
"OL-373","TRN-9153","P102","2","80","0.05","152"
"OL-374","TRN-9154","","2","80","0","160"
"OL-374","TRN-9154","P102","2","80","0","160"
"OL-375","TRN-9154","P203","2","68","0","136"
"","TRN-9156","","1","","0",""
"","","P103","1","95","0","95"
" OL-379 ","TRN-9156","C303","","60","0","180"
"OL-380","TRN-9156","C304","3","","0","174"
"OL-380","TRN-9156","C304","3","58","0","174"
"","#N/A","","1","70","0","70"
"OL-383","TRN-9157","C303","2","60","0","120"
"OL-384","TRN-9157","P201","3","70","0","210"
"OL-384","TRN-9157","P201","3","70","0","210"
"OL-385","TRN-9158","P203","2","68","0.1","122.4"
" OL-387 ","TRN-9159","P102","","80","0","160"
"OL-387","TRN-9159","P102","2","80","0","160"
"OL-389","TRN-9159"," P101 ","3","85","0","255"
""," TRN-9160 ","P201","2","70","0.15","119"
"OL-391","TRN-9161","P202","1","65","0","65"
"OL-391","TRN-9161","P202","1","65","0","65"
" OL-393 ","TRN-9162","","1","80","0",""
"OL-393","TRN-9162","P102","1","80","0","80"
"OL-395"," TRN-9162 ","P202","2","65","0","130"
"OL-396","TRN-9163","P102","2","80","0","160"
"OL-397","TRN-9163","","1","58","0","58"
"OL-397","TRN-9163","C304","1","58","0","58"
"OL-399","TRN-9163","P101","3","","0","255"
"OL-400","TRN-9164","P201","","70","","140"
" OL-401 "," TRN-9164 ","C304","3","58","0","174"
"OL-402","TRN-9164","P103","2","95","0","190"
"OL-403","TRN-9165","P103","1","","0","95"
"OL-404","TRN-9165","P102","3","80","0","240"
"","TRN-9166","","1","70","0.1","63"
" OL-406 "," TRN-9166 ","P101","1","85","0.1","76.5"
"OL-406","TRN-9166","P101","1","85","0.1","76.5"
"OL-407","TRN-9166","P102","1","80","0.1","72"
"OL-409","TRN-9167","C301","3","55","0",""
"OL-410","TRN-9168","C301","3","55","0",""
"OL-411","TRN-9168","P103","1","95","0",""
" OL-412 ","","P103","3","95","0.05","270.75"
"OL-413","TRN-9169","P202","2","65","","123.5"
"OL-414"," TRN-9169 ","C301","1","","0.05","52.25"
"OL-414","TRN-9169","C301","1","55","0.05","52.25"
"OL-415","TRN-9170","P202","3","65","0","195"
"OL-417","TRN-9171","P201","2","70","0","140"
"OL-418","TRN-9172","P102","","80","0","80"
" OL-419 ","TRN-9172","C302","1","50","0","50"
"OL-420","TRN-9173","P201","1","70","0","70"
"OL-421","TRN-9173","C301","2","","0","110"
"","TRN-9174","C304","1","58","0","58"
"OL-423","#N/A","P102","2","80","","160"
"OL-424","","C304","2","58","0","116"
"OL-425","TRN-9175","P201","3","70","0","210"
"OL-426","TRN-9175","C302","2","50","0","100"
"","TRN-9175","P203","1","68","0","68"
"#N/A","TRN-9176","P101","1","85","0.15","72.25"
"OL-429","TRN-9176","C302","2","","0.15","85"
"OL-429","TRN-9176","C302","2","50","0.15","85"
"OL-431","TRN-9177","P101","3","85","0","255"
"","TRN-9177","P103","1","95","0","95"
"OL-433","TRN-9177","C303","3","60","0","180"
"","#N/A","P203","1","68","0","68"
" OL-435 ","TRN-9178","C301","2","55","0",""
"OL-436","TRN-9178"," P202 ","3","65","0","195"
" OL-437 ","TRN-9178","C303","3","60","0","180"
" OL-438 ","TRN-9179","C301","2","55","0.15",""
"OL-439","TRN-9179"," P103 ","3","95","0.15","242.25"
"OL-439","TRN-9179","P103","3","95","0.15","242.25"
"OL-441","TRN-9179","","3","55","","140.25"
"OL-442","#N/A"," P102 ","1","80","0.05","76"
"OL-443","TRN-9180","","1","50","0.05","47.5"
" OL-444 ","TRN-9180","P102","1","80","0.05","76"
"OL-445","TRN-9180","C301","","55","0.05","52.25"
"OL-446"," TRN-9181 ","P103","","95","0","95"
"OL-447","TRN-9181","P103","3","95","0","285"
"OL-447","TRN-9181","P103","3","95","0","285"
"OL-449","TRN-9182"," P202 ","2","65","0.1","117"
"OL-450","TRN-9182","C302","3","50","0.1","135"
"","TRN-9182","P202","2","","0.1","117"
"OL-452"," TRN-9182 "," C302 ","1","50","0.1","45"
"OL-453","TRN-9183","C304","3","58","0.15",""
"OL-454","TRN-9184","P101","","85","0","255"
"OL-455","TRN-9184","C303","2","60","0","120"
"OL-455","TRN-9184","C303","2","60","0","120"
"OL-457","TRN-9185","P201","1","70","0","70"
"OL-458","TRN-9186","","3","65","0","195"
" OL-459 ","TRN-9187","C303","2","60","","114"
"OL-460","TRN-9187"," C303 ","3","60","","171"
"OL-461"," TRN-9187 ","C301","3","55","0.05","156.75"
"OL-462","TRN-9188","P201","3","70","","178.5"
"OL-463","TRN-9188","","","","0.15","68"
"OL-464","TRN-9189","P101","","","0.15","72.25"
"OL-464","TRN-9189","P101","1","85","0.15","72.25"
"OL-466","TRN-9191","C304","2","58","0","116"
"OL-467","TRN-9191","P103","3","95","0","285"
"OL-468"," TRN-9192 ","C304","","58","0.15","147.9"
"OL-469","TRN-9192","","2","70","0.15","119"
"OL-469","TRN-9192","P201","2","70","0.15","119"
"OL-471"," TRN-9193 ","P102","2","80","0.1","144"
"OL-472","TRN-9193","C303","2","60","0.1","108"
"OL-473","TRN-9193","P103","","95","0.1","256.5"
"OL-474","TRN-9193","C303","1","","0.1","54"
"OL-475","TRN-9194","C304","2","58","0",""
"OL-476"," TRN-9194 ","P202","2","65","0","130"
"OL-477","TRN-9195","C302","3","50","0","150"
"OL-478","TRN-9195","P202","3","","0","195"
"OL-479","TRN-9195","P201","3","70","0",""
"OL-480","TRN-9195","P101","3","85","","255"
"OL-481","","","2","70","0","140"
"","TRN-9196","C301","2","55","0","110"
"OL-483","","P101","2","","0",""
"OL-483","TRN-9196","P101","2","85","0","170"
" OL-485 ","TRN-9197","P203","3","","0","204"
"OL-486","TRN-9197","C302","3","50","","150"
"OL-487","TRN-9197","P103","2","95","0","190"
"OL-488","","C301","2","","0","110"
"OL-489"," TRN-9198 ","P103","2","95","","190"
"OL-490","","C301","1","55","0","55"
"#N/A","TRN-9198","C301","3","55","0","165"
"OL-492"," TRN-9199 ","P201","2","","0",""
"OL-493","TRN-9199"," C303 ","2","60","0","120"
"OL-493","TRN-9199","C303","2","60","0","120"
"OL-494","TRN-9199","C302","3","50","0","150"
"OL-496","TRN-9200","C303","3","60","0.05","171"
"OL-497","TRN-9200","C302","3","50","0.05","142.5"
"OL-498","TRN-9201","P203","2","68","0.1","122.4"
"OL-499","TRN-9202","C304","3","58","0","174"
"OL-500","TRN-9202","P201","","70","0","140"
"OL-501","TRN-9202","P203","1","68","0","68"
"OL-502","TRN-9202","","1","65","0","65"
"OL-503","TRN-9203"," P201 ","3","70","0","210"
"","TRN-9204"," C303 ","","60","0.05","114"
"OL-505"," TRN-9204 ","P102","1","80","0.05","76"
"OL-506","TRN-9204","C304","3","58","0.05","165.3"
"OL-506","TRN-9204","C304","3","58","0.05","165.3"
"OL-508","TRN-9206","C302","1","50","0","50"
"OL-509","TRN-9206","C301","","55","0","55"
"OL-510","TRN-9206","P102","2","80","0","160"
"OL-511","TRN-9207","P201","2","70","0","140"
"OL-512"," TRN-9207 ","C303","3","60","0","180"
"OL-513","TRN-9207","#N/A","3","85","0","255"
" OL-514 "," TRN-9208 ","P102","1","80","0.1",""
"OL-515","TRN-9208","C302","","50","0.1","45"
"OL-516","TRN-9208","C303","1","60","0.1","54"
"","TRN-9208","P202","3","","0.1",""
"","TRN-9209","P203","2","68","0","136"
"OL-519","TRN-9209","C302","","50","0",""
"OL-520","","P201","2","70","0","140"
" OL-521 ","TRN-9209"," P102 ","1","80","0","80"
"OL-522","TRN-9210","C304","1","58","0.1","52.2"
"OL-523","TRN-9210","P102","1","80","0.1","72"
"OL-523","TRN-9210","P102","1","80","0.1","72"
"","TRN-9211","P103","1","95","0",""
"OL-526","TRN-9211","C303","1","60","","60"
"OL-526","TRN-9211","C303","1","60","0","60"
"OL-528","TRN-9211"," C303 ","3","60","0","180"
"OL-529","TRN-9212","C303","2","60","0",""
" OL-530 ","TRN-9212","","2","","0","190"
"OL-531","TRN-9213","P201","3","70","0.1","189"
" OL-532 ","TRN-9213","","","70","0.1","126"
"OL-533",""," P202 ","","65","0.1",""
"OL-534","TRN-9214"," P202 ","2","65","0.15","110.5"
"OL-535","TRN-9214"," P203 ","2","68","0.15","115.6"
"","TRN-9214","","2","85","0.15","144.5"
"OL-537","","C304","3","","0.15",""
"OL-538","TRN-9215","P201","1","70","0.05","66.5"
" OL-539 "," TRN-9215 ","P201","3","70","","199.5"
"","TRN-9215","P201","","70","0.05","133"
" OL-541 ","TRN-9216","P103","2","95","0","190"
"OL-542","TRN-9217","C304","2","58","0","116"
"OL-543","TRN-9217","P203","2","68","0","136"
"OL-544","TRN-9218","C304","1","58","0","58"
" OL-545 ","TRN-9218","P102","3","80","0","240"
"OL-546","TRN-9219","P202","1","65","0","65"
"OL-547","TRN-9219"," P101 ","1","85","0","85"
