transaction_id,date,customer_id,store_id,payment_method,total_amount
TRN-9103,1/20/2022, CUST-1162 ,STO-01,Credit Card,495.9
TRN-9103,1/20/2022,CUST-1162,STO-01,Credit Card,495.9
 TRN-9105 ,10/1/2022, CUST-1383 ,STO-03,Mobile Payment,189
,12/29/2025,CUST-1047,STO-01,Debit Card,
TRN-9107,8/11/2024,CUST-1132, STO-04 ,Credit Card,104.55
TRN-9108,4/9/2022,CUST-1078,,Credit Card,
TRN-9108,4/9/2022,CUST-1078,STO-01,Credit Card,65
 TRN-9110 ,12/25/2023,CUST-1255,STO-01,Cash,204
TRN-9111,11/19/2023,CUST-1335,STO-01,,308.75
TRN-9112,3/3/2024,CUST-1128,STO-02,Mobile Payment,170
,1/29/2023,CUST-1144,STO-01,Mobile Payment,378
TRN-9114,12/6/2022,CUST-1129,#N/A,Cash,754
TRN-9114,12/6/2022,CUST-1129,STO-03,Cash,754
,6/18/2024,,STO-04,Mobile Payment,775
TRN-9116,6/18/2024,CUST-1356,STO-04,Mobile Payment,775
TRN-9118,2/10/2025,CUST-1076,STO-04,,
 TRN-9119 ,7/10/2024, CUST-1122 ,STO-03,Mobile Payment,358
TRN-9120,2/19/2022,CUST-1167,STO-02,Mobile Payment,363
 TRN-9121 , 2022-08-05 , CUST-1310 ,,,
TRN-9122,5/31/2025,CUST-1243, STO-03 ,Credit Card,
TRN-9123,10/22/2022,CUST-1133,STO-03,Cash,273.7
TRN-9124,12/31/2025,CUST-1110,STO-03,,120
TRN-9125,7/7/2023,CUST-1118,STO-03,Debit Card,204
TRN-9126,, CUST-1396 ,STO-04, Debit Card ,536
TRN-9126,2/15/2024,CUST-1396,STO-04,Debit Card,536
 TRN-9128 , 2022-05-30 , CUST-1353 ,STO-01,Cash,375
TRN-9129,7/18/2025,CUST-1009,STO-04,Credit Card,160
TRN-9129,7/18/2025,CUST-1009,STO-04,Credit Card,160
TRN-9130,6/10/2023,CUST-1286,STO-01,Mobile Payment,320
TRN-9131,8/26/2023,CUST-1332,STO-03,Mobile Payment,558
TRN-9133,1/26/2025,CUST-1237, STO-01 ,Cash,216
TRN-9134,2/13/2024,CUST-1250, STO-02 ,Credit Card,306
TRN-9135,7/20/2023,CUST-1398,STO-04,Credit Card,180
TRN-9136,#N/A, CUST-1146 ,STO-01,Debit Card,140
TRN-9137,10/14/2024, CUST-1278 ,STO-04,Mobile Payment,220
TRN-9138,2/3/2026,CUST-1086,STO-03, Cash ,170
TRN-9139,7/8/2024,,STO-01,Mobile Payment,717.25
TRN-9140,6/29/2024,CUST-1050,STO-02,,284.75
TRN-9141,11/7/2025,CUST-1205,STO-02,,130
,11/3/2025,CUST-1380,,Debit Card,
TRN-9143,6/21/2024,CUST-1093,STO-03,Credit Card,
TRN-9144,11/9/2023,,STO-02,,
TRN-9145,5/11/2024,CUST-1232,STO-04,,303
TRN-9146,10/24/2025,CUST-1199,STO-03,Cash,58
 TRN-9147 ,1/10/2022,CUST-1055,STO-03,Cash,
TRN-9147,1/10/2022,CUST-1055,STO-03,Cash,58.5
 TRN-9149 , 2023-07-22 ,CUST-1194,STO-02, Credit Card ,58
 TRN-9150 ,5/11/2022,,,Cash,445
TRN-9150,5/11/2022,CUST-1222,STO-03,Cash,445
TRN-9151,5/20/2024,CUST-1024,STO-02,Mobile Payment,504.9
,,CUST-1260,,Debit Card,411.4
TRN-9154,2/21/2023,CUST-1351,STO-02,Cash,285
TRN-9155,3/12/2024, CUST-1377 ,STO-03,Cash,771
TRN-9156,6/22/2025,,#N/A,Mobile Payment,470.25
TRN-9156,6/22/2025,CUST-1111,STO-04,Mobile Payment,470.25
 TRN-9158 ,10/19/2024,CUST-1399,STO-02, Debit Card ,
TRN-9159,4/6/2025,CUST-1277,STO-02,Mobile Payment,390
TRN-9160,9/17/2025,CUST-1277, STO-02 ,Credit Card,865
 TRN-9161 ,1/11/2022,CUST-1171,STO-03,Debit Card,270.75
TRN-9162,4/7/2025,CUST-1183,STO-04,Mobile Payment,559
,11/16/2025,CUST-1352,STO-01,Credit Card,643
TRN-9164,10/14/2022,CUST-1137,STO-02,Mobile Payment,538.05
TRN-9165,9/27/2025, CUST-1108 ,STO-03,Credit Card,508
TRN-9166,9/12/2025,CUST-1297,STO-04,,259
 TRN-9167 ,4/26/2025,CUST-1196,#N/A, Mobile Payment ,366
TRN-9167,4/26/2025,CUST-1196,STO-01,Mobile Payment,366
TRN-9169,12/17/2023,CUST-1250,STO-02,#N/A,275
TRN-9169,12/17/2023,CUST-1250,STO-02,Debit Card,275
TRN-9170,2/5/2024,CUST-1155,STO-03,Mobile Payment,55
TRN-9172,5/14/2022,,,Debit Card,
TRN-9172,5/14/2022,CUST-1325,STO-01,Debit Card,442
,8/4/2025,CUST-1131,STO-04,Credit Card,627
 TRN-9175 ,12/20/2022,CUST-1251,STO-04, Credit Card ,500
#N/A,9/15/2025,CUST-1142,STO-01,,180
TRN-9177,9/29/2024, CUST-1241 ,STO-02,,58
TRN-9178,5/2/2025,CUST-1310,STO-02,Debit Card,178.5
TRN-9179,7/27/2025, CUST-1329 ,STO-04,Credit Card,180
TRN-9179,7/27/2025,CUST-1329,STO-04,Credit Card,180
TRN-9181,5/11/2022,CUST-1351,,Debit Card,210
 TRN-9182 ,8/22/2023,CUST-1395,STO-02,,130
TRN-9183,11/8/2023,CUST-1095,STO-02,Mobile Payment,690
 TRN-9184 ,8/18/2022,CUST-1207,STO-01,Debit Card,258
#N/A,7/11/2025, CUST-1051 ,STO-03,Credit Card,535
,#N/A, CUST-1399 ,STO-02,#N/A,239.4
TRN-9187,6/9/2022,,STO-01,Mobile Payment,605
, 2022-02-06 ,CUST-1069,STO-03,Mobile Payment,206.1
TRN-9189,4/5/2023,,,Cash,423
TRN-9189,4/5/2023,CUST-1215,STO-03,Cash,423
TRN-9191,12/1/2025,CUST-1104,,Credit Card,333
TRN-9192,5/21/2022,CUST-1262,,Mobile Payment,110
 TRN-9193 ,9/27/2024,CUST-1007,STO-04, Debit Card ,165
TRN-9193,9/27/2024,CUST-1007,STO-04,Debit Card,165
, 2022-07-09 , CUST-1367 ,,Mobile Payment,412.3
,7/7/2022,CUST-1082,STO-01,Cash,584
 TRN-9197 ,7/17/2025,,STO-02,Debit Card,455
TRN-9198,2/12/2025,CUST-1028,STO-03, Mobile Payment ,153
TRN-9198,2/12/2025,CUST-1028,STO-03,Mobile Payment,153
TRN-9200,3/20/2023,CUST-1334,STO-02,#N/A,100
TRN-9201, 2023-03-09 ,CUST-1065,STO-02, Credit Card ,269
TRN-9202,,CUST-1201,STO-04,,471
TRN-9203,1/20/2024,CUST-1105, STO-03 ,Cash,575
TRN-9204,8/24/2024,CUST-1065,STO-01,Cash,342
TRN-9205,#N/A,CUST-1163,STO-01, Mobile Payment ,65
,3/4/2022,,STO-02,,304
TRN-9207,8/4/2022, CUST-1207 ,STO-03,Credit Card,443.7
TRN-9208, 2024-06-15 , CUST-1113 , STO-01 ,Credit Card,180
TRN-9209,2/16/2022,CUST-1330, STO-02 ,Credit Card,260
TRN-9210,9/24/2025,CUST-1306, STO-01 ,,539
TRN-9211,,CUST-1237,STO-01,Mobile Payment,58
,5/15/2024,CUST-1302,#N/A,Mobile Payment,225
TRN-9212,5/15/2024,CUST-1302,STO-04,Mobile Payment,225
,8/19/2024, CUST-1200 ,STO-01,Debit Card,734
 TRN-9215 , 2025-10-25 ,CUST-1139,STO-03,Mobile Payment,185.25
TRN-9216,11/9/2022,CUST-1366, STO-04 ,Mobile Payment,594.7
,#N/A,CUST-1023, STO-03 ,Mobile Payment,
TRN-9217,3/13/2024,CUST-1023,STO-03,Mobile Payment,324
TRN-9219,5/4/2022,CUST-1286,STO-04,Cash,270
TRN-9220,6/22/2024, CUST-1208 ,STO-02,Credit Card,210
 TRN-9221 ,4/29/2024, CUST-1390 , STO-02 ,Cash,204
TRN-9222, 2023-11-23 ,CUST-1010,STO-03,,690
TRN-9222,11/23/2023,CUST-1010,STO-03,Debit Card,690
TRN-9224, 2025-03-28 , CUST-1205 ,STO-04,Credit Card,165
TRN-9225,11/9/2023,, STO-01 ,Credit Card,275
TRN-9226,,CUST-1165,STO-02,Cash,530
TRN-9227,4/23/2023,CUST-1292,STO-04,Credit Card,425
TRN-9228,8/31/2022,CUST-1091,STO-01,,604
TRN-9228,8/31/2022,CUST-1091,STO-01,Debit Card,604
TRN-9230,1/16/2023,CUST-1278,STO-02,Credit Card,475
TRN-9230,1/16/2023,CUST-1278,STO-02,Credit Card,475
TRN-9232,9/16/2023,, STO-03 ,Credit Card,459
 TRN-9233 ,3/25/2023,CUST-1065,,Cash,581
TRN-9234,4/29/2022,CUST-1376,STO-04,Credit Card,285
TRN-9235,9/26/2022,CUST-1316,STO-04,Cash,93.5
TRN-9235,9/26/2022,CUST-1316,STO-04,Cash,93.5
TRN-9237,12/10/2023,CUST-1023,STO-03,Debit Card,90.25
TRN-9238,10/23/2022,CUST-1188,,Mobile Payment,150
TRN-9239,11/23/2023,CUST-1091, STO-02 ,Cash,251.6
 TRN-9240 ,2/20/2026,CUST-1362, STO-01 ,Mobile Payment,
TRN-9241,9/30/2024,CUST-1314,STO-03,Cash,515
TRN-9242,#N/A,,STO-03,Debit Card,604
,3/25/2025,CUST-1002,,Cash,68
 TRN-9244 , 2024-03-22 ,CUST-1329,STO-02, Credit Card ,70
 TRN-9245 ,8/16/2022,CUST-1250,STO-01,Mobile Payment,570
TRN-9246,,CUST-1074,STO-01, Cash ,166.6
,7/13/2022,CUST-1127,STO-02,,80
TRN-9248, 2025-12-14 , CUST-1102 , STO-01 ,Credit Card,
TRN-9249,9/7/2025,CUST-1303,STO-04,,270
TRN-9250,,CUST-1298,STO-02, Cash ,210
,11/11/2023,CUST-1128,STO-03,Mobile Payment,148.5
 TRN-9252 ,6/10/2025,CUST-1194,STO-02,Credit Card,490
TRN-9253,#N/A,,STO-02, Mobile Payment ,100
TRN-9254,9/22/2023,CUST-1041,,Cash,215
 TRN-9255 ,5/10/2022, CUST-1370 ,STO-01,Credit Card,269
TRN-9255,5/10/2022,CUST-1370,STO-01,Credit Card,269
TRN-9257,5/10/2022,,STO-03,Debit Card,645
TRN-9258,1/29/2022,CUST-1039,#N/A,Cash,58
TRN-9259,12/16/2025,,,Credit Card,70
TRN-9260,8/8/2022, CUST-1304 , STO-03 , Cash ,534.6
,1/28/2025,CUST-1198,,Debit Card,190
TRN-9262,12/6/2025,,STO-03,,621
TRN-9263,2/25/2023,,STO-02,Mobile Payment,
TRN-9264, 2022-01-19 ,CUST-1104,,Credit Card,404.1
TRN-9265,6/11/2024,CUST-1016,STO-03,Cash,110.2
TRN-9266,3/25/2025,CUST-1062,STO-03, Credit Card ,161.5
,2/19/2022, CUST-1124 ,STO-01,Cash,477
TRN-9268,8/18/2023,CUST-1261,STO-03,Credit Card,
TRN-9269,9/28/2023,CUST-1350,STO-01,,359.55
TRN-9269,9/28/2023,CUST-1350,STO-01,Mobile Payment,359.55
TRN-9271,,CUST-1049,STO-03,Credit Card,55.25
TRN-9272,1/14/2024, CUST-1141 ,STO-03,Credit Card,200
 TRN-9273 ,11/30/2024, CUST-1268 ,STO-02,Credit Card,355
TRN-9274,2/25/2023,CUST-1262,,,264.35
TRN-9275,1/12/2023,CUST-1314,STO-02,Debit Card,220
, 2024-12-08 , CUST-1376 ,STO-02,Debit Card,195
TRN-9277, 2022-12-19 ,CUST-1279, STO-04 ,,279
TRN-9278,,CUST-1191,STO-01,Mobile Payment,605
TRN-9279,#N/A,,STO-01,,471.75
TRN-9280, 2025-07-29 , CUST-1323 ,STO-02,Credit Card,120
TRN-9281,9/11/2023,CUST-1156, STO-04 ,Debit Card,504
TRN-9282,1/30/2025,CUST-1399,STO-03,Debit Card,244
TRN-9283, 2022-04-27 ,CUST-1183,STO-02, Mobile Payment ,
TRN-9283,4/27/2022,CUST-1183,STO-02,Mobile Payment,485
TRN-9285,6/15/2025,CUST-1032, STO-01 , Cash ,515
#N/A,,CUST-1105, STO-03 , Credit Card ,405
 TRN-9287 ,8/3/2022,CUST-1047, STO-01 ,Credit Card,509
TRN-9287,8/3/2022,CUST-1047,STO-01,Credit Card,509
TRN-9289,8/29/2022,CUST-1121,STO-01,Mobile Payment,515
TRN-9290,, CUST-1053 ,STO-02,Debit Card,255
,6/30/2022,CUST-1242,STO-03,Mobile Payment,72.25
, 2024-08-28 ,CUST-1270,STO-01,Cash,599
 TRN-9293 ,1/20/2022, CUST-1261 ,STO-02, Credit Card ,451
TRN-9294,8/21/2024,CUST-1119,STO-03,,180
TRN-9295,6/29/2025,CUST-1010,STO-03,Debit Card,
TRN-9295,6/29/2025,CUST-1010,STO-03,Debit Card,711
TRN-9296,5/9/2025,CUST-1094,STO-02,Debit Card,560
TRN-9298,5/16/2025,,STO-03,Mobile Payment,120
TRN-9299,11/9/2024,CUST-1392,STO-01, Debit Card ,80
TRN-9300,2/26/2024,CUST-1368,STO-01,Debit Card,430
 TRN-9301 ,9/15/2023,CUST-1034,STO-02, Mobile Payment ,
#N/A,9/19/2022,CUST-1232,STO-04,Credit Card,482
TRN-9303,#N/A,CUST-1286,STO-04,Mobile Payment,463.25
TRN-9304,6/20/2022,, STO-02 ,Cash,385
TRN-9305,#N/A,CUST-1398,STO-03,Mobile Payment,314.5
 TRN-9306 , 2024-01-05 ,CUST-1215,STO-02,Cash,199.5
TRN-9307,1/24/2025, CUST-1200 ,STO-03,Mobile Payment,331
TRN-9308,7/17/2022,CUST-1306,STO-04,Debit Card,255
TRN-9308,7/17/2022,CUST-1306,STO-04,Debit Card,255
TRN-9310,2/26/2022,#N/A,STO-02,Credit Card,195
 TRN-9311 ,12/12/2025,CUST-1057,#N/A,Credit Card,110.2
TRN-9312,12/14/2024,CUST-1116, STO-02 ,Credit Card,465
TRN-9313,8/28/2024,CUST-1142,STO-01,Cash,505
TRN-9314,11/1/2025,CUST-1134,STO-02,Mobile Payment,153
 TRN-9315 ,12/3/2023,CUST-1031,STO-03,Mobile Payment,650.75
TRN-9315,12/3/2023,CUST-1031,STO-03,Mobile Payment,650.75
TRN-9317,, CUST-1335 ,STO-04,Cash,369.75
TRN-9318,1/4/2024,, STO-03 , Debit Card ,273
TRN-9319,7/6/2024,CUST-1329,STO-02,Debit Card,385
TRN-9320, 2022-07-18 ,CUST-1109,STO-03,,188
TRN-9321, 2022-06-15 ,CUST-1007,STO-02,Credit Card,340
TRN-9322,2/20/2026,, STO-02 ,Mobile Payment,130
TRN-9323,8/19/2023, CUST-1219 ,STO-01,Mobile Payment,120
TRN-9323,8/19/2023,CUST-1219,STO-01,Mobile Payment,120
TRN-9325,10/27/2023,CUST-1371,STO-04,Cash,215
TRN-9326,11/20/2025, CUST-1078 ,STO-02,#N/A,680
TRN-9327,12/16/2023,CUST-1039, STO-04 ,#N/A,280
TRN-9328,2/8/2024,CUST-1348,STO-01,Debit Card,338
TRN-9328,2/8/2024,CUST-1348,STO-01,Debit Card,338
TRN-9330,12/4/2023,CUST-1032,STO-01,Mobile Payment,
TRN-9331,10/26/2023,CUST-1252,STO-03,Credit Card,204
 TRN-9332 ,6/7/2023, CUST-1053 ,STO-04,Cash,395
TRN-9333,9/20/2023,CUST-1054,STO-02,Credit Card,100
TRN-9334,#N/A,CUST-1207,STO-04,#N/A,310.25
TRN-9335,9/28/2023,CUST-1036,STO-01,Cash,
 TRN-9336 ,4/20/2023,,STO-04,Debit Card,
TRN-9337,7/3/2025,CUST-1081,STO-04,Mobile Payment,189
TRN-9338,9/6/2022,CUST-1399,STO-02,Credit Card,376
TRN-9338,9/6/2022,CUST-1399,STO-02,Credit Card,376
 TRN-9340 ,3/12/2022,CUST-1316,STO-02,Debit Card,266
TRN-9341, 2022-09-18 ,CUST-1075,#N/A,Cash,120
TRN-9342,6/21/2023,,STO-02,,270
,8/10/2022, CUST-1127 ,STO-02,Cash,513
 TRN-9344 ,6/19/2025,CUST-1043,STO-03,,50
TRN-9345, 2024-06-24 ,CUST-1101,STO-04,Mobile Payment,468.9
TRN-9346,11/21/2024,,,Mobile Payment,360
TRN-9346,11/21/2024,CUST-1022,STO-04,Mobile Payment,360
 TRN-9348 ,3/27/2025,,,Mobile Payment,465
TRN-9348,3/27/2025,CUST-1186,STO-04,Mobile Payment,465
 TRN-9350 ,10/15/2025,CUST-1324,STO-04,,360
TRN-9351, 2024-05-21 ,CUST-1343,,Mobile Payment,335
TRN-9352,3/10/2022,CUST-1079,STO-02, Debit Card ,233.7
#N/A,7/2/2025,CUST-1219,STO-04,Cash,191
TRN-9354,12/15/2023,CUST-1213,STO-01,Debit Card,485
TRN-9355, 2026-02-15 ,CUST-1398,STO-04, Debit Card ,150
TRN-9356,7/14/2023,CUST-1261,#N/A,Cash,
TRN-9356,7/14/2023,CUST-1261,STO-02,Cash,464
TRN-9358, 2023-01-30 ,CUST-1147,STO-02,Mobile Payment,170
,,CUST-1217,STO-04,Cash,535
TRN-9360, 2023-11-28 ,#N/A, STO-04 ,Mobile Payment,330
,,CUST-1190,STO-03,,495
TRN-9362,11/21/2023,CUST-1168,STO-03,Credit Card,693.5
 TRN-9363 ,1/20/2026,CUST-1167,STO-03,Debit Card,361
TRN-9363,1/20/2026,CUST-1167,STO-03,Debit Card,361
TRN-9364,8/12/2022,CUST-1388,STO-02,Mobile Payment,390
TRN-9366,4/17/2023,CUST-1313,STO-02,Debit Card,330
TRN-9366,4/17/2023,CUST-1313,STO-02,Debit Card,330
TRN-9367,2/15/2023,CUST-1395,STO-02,Cash,440
TRN-9368,9/3/2022,CUST-1189,STO-02,Mobile Payment,434
TRN-9370,1/24/2024,CUST-1059,STO-02,Credit Card,406.6
TRN-9371,10/20/2023,CUST-1359,STO-03, Credit Card ,275.5
TRN-9372,7/28/2025,CUST-1235,STO-02,Cash,
TRN-9373,10/27/2022,CUST-1026,#N/A,Credit Card,420
 TRN-9374 ,10/1/2025,CUST-1267,STO-03,Credit Card,514
TRN-9375,2/1/2024,,,Mobile Payment,459
TRN-9375,2/1/2024,CUST-1193,STO-03,Mobile Payment,459
TRN-9377,#N/A,CUST-1050,STO-01,,449
TRN-9377,6/24/2025,CUST-1050,STO-01,Mobile Payment,449
TRN-9379,1/6/2025,CUST-1381,STO-04,Cash,200
TRN-9379,1/6/2025,CUST-1381,STO-04,Cash,200
TRN-9381,7/7/2022,CUST-1257,STO-01,Mobile Payment,185.25
,10/16/2023,CUST-1226,STO-02, Debit Card ,120
TRN-9383,2/5/2025,CUST-1210,STO-04,Cash,340
TRN-9384,7/24/2025,CUST-1309,STO-04,Debit Card,149.6
 TRN-9385 , 2024-01-19 ,#N/A, STO-03 ,Credit Card,311
TRN-9386,1/16/2023,CUST-1276,STO-02,Debit Card,377
TRN-9387,2/4/2022,CUST-1347, STO-01 ,Cash,215
TRN-9387,2/4/2022,CUST-1347,STO-01,Cash,215
TRN-9389,9/14/2023, CUST-1085 ,STO-04,Cash,354.6
TRN-9390,2/7/2022,CUST-1100,STO-01,Credit Card,440
TRN-9391,2/5/2023,CUST-1264,STO-04,Debit Card,140.25
TRN-9392,,CUST-1330,STO-04,Mobile Payment,
#N/A,,CUST-1303,STO-04,Debit Card,280
,3/16/2025,,STO-01,Mobile Payment,174
TRN-9395, 2022-02-12 , CUST-1106 ,STO-03,Cash,570
TRN-9396,9/28/2023,CUST-1314, STO-03 ,Mobile Payment,660
TRN-9397,#N/A,CUST-1084,,Credit Card,
TRN-9398, 2022-05-23 ,CUST-1378,,Cash,673
,6/1/2025,,STO-03,Credit Card,351
TRN-9400,5/10/2024,CUST-1206,STO-04, Mobile Payment ,505
, 2025-03-22 ,CUST-1375,STO-02,Cash,225.25
TRN-9401,3/22/2025,CUST-1375,STO-02,Cash,225.25
TRN-9403,9/24/2024,,STO-02,Debit Card,150
TRN-9404,11/7/2022,CUST-1038, STO-01 ,Cash,
TRN-9405,7/8/2023,CUST-1055,STO-03, Credit Card ,368.05
TRN-9406,2/4/2026,CUST-1297,STO-01,Cash,270
TRN-9407,8/1/2022,CUST-1147,,Mobile Payment,550
, 2022-04-06 ,CUST-1260,STO-02,Debit Card,310
TRN-9409,11/5/2023, CUST-1202 ,STO-01,Mobile Payment,550
TRN-9410, 2024-03-06 , CUST-1248 ,STO-04,Mobile Payment,483.55
TRN-9411, 2022-04-09 ,CUST-1096,STO-04, Cash ,631
TRN-9412,3/30/2022,CUST-1379, STO-01 , Debit Card ,568.65
TRN-9413, 2024-04-22 ,CUST-1014,STO-02,Cash,60
TRN-9413,4/22/2024,CUST-1014,STO-02,Cash,60
,12/22/2024,CUST-1212,STO-03,Debit Card,80
TRN-9416, 2025-12-16 ,CUST-1161,STO-04, Credit Card ,110
TRN-9417,,CUST-1341,STO-03,Cash,417
TRN-9418, 2023-08-30 ,CUST-1182,STO-01,Credit Card,424.15
 TRN-9419 ,10/4/2025,CUST-1088,STO-03,Cash,340
TRN-9420,4/28/2025,CUST-1047,STO-03,Cash,380
,,CUST-1267,STO-01, Mobile Payment ,494
